@RELATION taxi

@ATTRIBUTE xValue REAL
@ATTRIBUTE yValue REAL

@DATA
31247.942, 31371.002
31305.107, 31303.173
31375.056, 31224.225
31440.775, 31141.941
31505.651, 31058.544
31570.528, 30975.148
31638.826, 30886.192
31702.848, 30805.02
31762.611, 30727.183
31821.517, 30651.571
31879.547, 30582.63
31938.465, 30504.794
31999.059, 30432.517
32050.285, 30366.912
32089.591, 30309.091
32127.181, 30255.717
32189.263, 30233.478
32262.28, 30235.702
32348.859, 30243.486
32438.829, 30252.381
32539.824, 30264.613
32636.563, 30279.068
32735.854, 30292.411
32832.626, 30299.083
32930.267, 30301.307
33016.088, 30287.964
33114.656, 30272.396
33214.928, 30255.717
33301.653, 30230.142
33394.352, 30197.896
33491.313, 30162.313
33582.36, 30120.059
33670.012, 30077.805
33745.806, 30028.879
33813.115, 29978.842
33864.265, 29934.364
33905.22, 29890.998
33948.744, 29843.184
33988.861, 29797.594
34028.125, 29753.116
34066.555, 29705.302
34105.854, 29653.04
34145.16, 29599.667
34182.757, 29548.517
34218.672, 29494.032
34256.31, 29433.986
34302.402, 29382.837
34361.217, 29335.023
34425.098, 29293.881
34489.809, 29257.187
34554.53, 29218.268
34610.739, 29183.798
34663.567, 29145.992
34714.718, 29103.738
34769.291, 29055.924
34825.575, 29005.886
34886.918, 28963.632
34962.675, 28926.938
35041.814, 28893.579
35115.816, 28869.116
35200.0, 28846.877
35289.306, 28819.079
35380.302, 28793.504
35458.542, 28771.265
35532.536, 28749.026
35606.552, 28722.339
35666.985, 28694.54
35710.416, 28670.077
35752.133, 28648.95
35799.779, 28631.159
35850.839, 28610.032
35905.36, 28575.562
35953.952, 28537.755
36007.544, 28519.964
36056.848, 28511.069
36107.023, 28497.725
36163.143, 28484.382
36229.445, 28473.262
36300.827, 28465.479
36378.999, 28458.807
36466.416, 28472.15
36557.182, 28495.501
36631.87, 28506.621
36698.902, 28519.964
36765.94, 28532.196
36844.024, 28543.315
36922.157, 28544.427
37007.156, 28531.084
37091.333, 28512.181
37172.168, 28482.158
37249.65, 28443.24
37319.489, 28404.321
37389.306, 28369.851
37457.409, 28338.716
37525.512, 28307.582
37599.578, 28273.111
37665.123, 28244.201
37723.857, 28218.626
37779.205, 28190.827
37833.677, 28168.588
37885.595, 28147.461
37937.513, 28126.334
37987.738, 28104.095
38032.862, 28082.968
38078.824, 28064.065
38126.491, 28044.05
38171.604, 28025.147
38220.998, 27999.572
38267.833, 27976.221
38306.135, 27960.654
38359.783, 27933.967
38388.753, 27916.176
38416.863, 27900.608
38449.236, 27881.705
38496.079, 27857.242
38546.313, 27833.891
38587.227, 27806.093
38610.326, 27773.846
38606.273, 27736.04
38570.836, 27689.338
38532.046, 27633.741
38481.398, 27571.471
38434.135, 27511.426
38384.34, 27448.045
38335.389, 27385.776
38283.91, 27319.059
38234.124, 27253.454
38189.406, 27193.409
38145.435, 27153.379
38092.857, 27135.587
38058.117, 27117.796
38054.876, 27086.662
38073.711, 27057.751
38068.771, 27026.616
38035.854, 26984.362
37999.532, 26943.22
37962.344, 26905.414
37928.587, 26860.936
37888.045, 26814.234
37852.543, 26778.652
37818.729, 26745.293
37798.485, 26716.382
37802.034, 26686.36
37803.839, 26665.233
37800.546, 26644.106
37787.942, 26616.307
37767.726, 26581.837
37744.972, 26545.142
37722.95, 26531.799
37699.262, 26511.784
37684.92, 26491.769
37670.583, 26470.642
37657.922, 26453.962
37649.538, 26431.723
37643.691, 26411.708
37636.144, 26391.693
37628.603, 26370.566
37611.579, 26377.238
37591.133, 26388.357
37563.914, 26395.029
37531.63, 26395.029
37502.767, 26390.581
37471.388, 26379.462
37449.354, 26368.342
37418.78, 26366.118
37388.135, 26378.35
37359.134, 26401.701
37329.228, 26436.171
