@relation taxi_clustered

@attribute Instance_number numeric
@attribute xValue numeric
@attribute yValue numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32,cluster33,cluster34,cluster35,cluster36,cluster37,cluster38,cluster39}

@data
467,26111.518,41846.676,cluster2
468,26068.679,41975.662,cluster2
469,26026.696,42102.424,cluster2
470,25993.197,42228.075,cluster2
471,25974.103,42355.949,cluster2
472,25955.01,42483.823,cluster2
473,25931.709,42602.802,cluster2
474,25894.063,42702.877,cluster2
475,25824.274,42782.937,cluster2
476,25726.598,42837.423,cluster2
477,25632.285,42900.804,cluster2
478,25560.766,42991.984,cluster2
479,25518.855,43102.067,cluster2
480,25476.937,43214.374,cluster2
481,25437.563,43326.681,cluster2
482,25406.655,43442.323,cluster2
483,25384.96,43591.325,cluster2
484,25370.14,43712.527,cluster2
485,25356.169,43833.729,cluster2
486,25342.198,43954.932,cluster2
487,25329.075,44076.134,cluster2
488,25315.108,44196.225,cluster2
489,25301.142,44316.315,cluster2
490,25287.173,44437.518,cluster2
491,25273.207,44557.608,cluster2
492,25260.079,44681.035,cluster2
493,25246.096,44806.685,cluster2
494,25232.979,44926.776,cluster2
495,25219.893,45037.971,cluster2
496,25205.105,45151.389,cluster2
497,25182.686,45265.92,cluster2
498,25153.504,45376.003,cluster2
499,25115.863,45481.638,cluster2
500,25070.6,45586.162,cluster2
501,25017.72,45688.461,cluster2
502,24956.381,45786.312,cluster2
503,24887.426,45881.94,cluster2
504,24809.169,45972.008,cluster2
505,24721.615,46055.404,cluster2
506,24631.532,46135.464,cluster2
507,24544.001,46213.301,cluster2
508,24453.922,46293.361,cluster2
509,24363.841,46374.534,cluster2
510,24272.918,46454.594,cluster2
511,24184.547,46532.43,cluster2
512,24098.715,46611.379,cluster2
513,24013.751,46684.767,cluster2
514,23930.49,46755.932,cluster2
515,23854.015,46824.873,cluster2
516,23784.328,46891.59,cluster2
517,23709.568,46954.971,cluster2
518,23627.167,47023.912,cluster2
519,23540.521,47096.189,cluster2
520,23452.175,47170.689,cluster2
521,23369.775,47240.742,cluster2
522,23292.474,47306.347,cluster2
523,23212.649,47366.392,cluster2
524,23123.538,47416.43,cluster2
525,23029.345,47466.468,cluster2
526,22935.149,47517.617,cluster2
527,22852.816,47568.767,cluster2
528,22728.843,47662.171,cluster2
529,22791.67,47617.693,cluster2
530,22754.306,47646.604,cluster2
531,22694.025,47689.97,cluster2
532,22645.622,47727.776,cluster2
533,22587.023,47775.59,cluster2
534,22527.535,47837.859,cluster2
535,22471.416,47906.8,cluster2
536,22414.454,47974.629,cluster2
537,22362.602,48033.562,cluster2
538,22322.645,48081.376,cluster2
539,22297.115,48120.294,cluster2
540,22283.502,48140.309,cluster2
541,22279.279,48135.861,cluster2
542,22286.956,48118.07,cluster2
543,22309.071,48088.047,cluster2
544,22336.308,48044.681,cluster2
545,22372.03,47996.868,cluster2
546,22413.69,47946.83,cluster2
547,22457.901,47893.456,cluster2
548,22503.808,47840.083,cluster2
549,22549.701,47791.157,cluster2
550,22597.27,47748.903,cluster2
551,22644.829,47709.985,cluster2
552,22693.232,47672.178,cluster2
553,22742.503,47627.7,cluster2
554,22798.545,47585.446,cluster2
555,22856.283,47543.192,cluster2
556,22921.642,47502.05,cluster2
557,22989.53,47465.356,cluster2
558,23057.419,47428.661,cluster2
559,23127.853,47390.855,cluster2
560,23197.438,47354.161,cluster2
561,23261.106,47313.019,cluster2
562,23318.872,47262.981,cluster2
563,23376.639,47212.943,cluster2
564,23432.706,47165.129,cluster2
565,23489.617,47118.428,cluster2
566,23546.535,47069.502,cluster2
567,23603.458,47019.464,cluster2
568,23661.239,46966.091,cluster2
569,23719.029,46910.493,cluster2
570,23775.961,46858.231,cluster2
571,23840.502,46811.53,cluster2
572,23904.21,46760.38,cluster2
573,23967.086,46704.782,cluster2
574,24029.96,46650.297,cluster2
575,24091.143,46594.7,cluster2
576,24150.637,46537.99,cluster2
577,24208.429,46483.505,cluster2
578,24264.51,46434.579,cluster2
579,24316.348,46387.877,cluster2
580,24367.328,46344.511,cluster2
581,24414.068,46302.257,cluster2
582,24448.914,46270.01,cluster2
583,24462.555,46244.436,cluster2
584,24465.173,46221.085,cluster2
585,24472.864,46201.069,cluster2
586,24481.378,46188.838,cluster2
587,24497.499,46182.166,cluster2
588,24514.413,46192.174,cluster2
589,24538.153,46187.726,cluster2
590,24557.7,46169.935,cluster2
591,24590.838,46142.136,cluster2
592,24601.075,46121.009,cluster2
593,24603.683,46100.994,cluster2
594,24620.67,46088.763,cluster2
595,24643.534,46093.21,cluster2
596,24664.769,46077.643,cluster2
597,24703.014,46043.173,cluster2
598,24900.306,45830.79,cluster2
599,24748.052,46004.254,cluster2
600,24797.372,45951.993,cluster2
601,24849.249,45895.283,cluster2
602,25214.155,44980.149,cluster2
603,24963.305,45742.946,cluster2
604,25008.465,45668.446,cluster2
605,25051.084,45593.945,cluster2
606,25088.63,45516.109,cluster2
607,25121.959,45432.713,cluster2
608,25149.368,45345.98,cluster2
609,25170.852,45257.025,cluster2
610,25189.795,45168.069,cluster2
611,25202.813,45076.889,cluster2
612,25225.52,44876.738,cluster2
613,25236.904,44767.767,cluster2
614,25249.14,44657.684,cluster2
615,25263.074,44546.489,cluster2
616,25275.311,44436.406,cluster2
617,25288.395,44326.323,cluster2
618,25301.476,44217.352,cluster2
619,25312.854,44110.605,cluster2
620,25323.382,44004.97,cluster2
621,25333.906,43900.446,cluster2
622,25346.121,43797.035,cluster2
623,25358.337,43693.624,cluster2
624,25369.706,43590.213,cluster2
625,25381.064,43490.137,cluster2
626,25401.746,43390.062,cluster2
