@relation taxi_clustered

@attribute Instance_number numeric
@attribute xValue numeric
@attribute yValue numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32,cluster33,cluster34,cluster35,cluster36,cluster37,cluster38,cluster39}

@data
393,28593.116,34043.016,cluster37
394,28344.383,34284.309,cluster37
395,28317.125,34310.996,cluster37
396,28291.56,34338.795,cluster37
397,28273.625,34368.817,cluster37
398,28249.737,34402.176,cluster37
399,28293.14,34369.929,cluster37
400,28367.348,34270.966,cluster37
401,27902.143,34762.447,cluster37
402,27752.086,35181.652,cluster37
403,27862.089,35037.099,cluster37
404,27655.929,35485.214,cluster37
405,27546.47,36179.071,cluster9
406,26935.722,35899.971,cluster9
407,27380.248,35924.434,cluster9
408,28094.613,36398.125,cluster9
409,29111.226,37010.809,cluster9
410,30337.088,37442.245,cluster9
411,31460.326,38038.25,cluster9
412,32697.567,38708.755,cluster19
413,33673.639,38751.009,cluster19
414,34616.912,38361.827,cluster19
415,35302.391,37795.845,cluster19
416,35957.492,37039.719,cluster19
417,36365.545,36867.367,cluster19
418,36437.048,36468.178,cluster19
419,36900.36,36454.834,cluster19
420,37407.487,36332.52,cluster19
421,37871.624,36325.848,cluster19
422,38320.411,36334.744,cluster19
423,38849.794,36344.751,cluster19
424,39302.437,36264.691,cluster19
425,39588.778,36025.622,cluster19
426,40151.326,35707.604,cluster19
427,40002.257,35337.325,cluster19
428,39611.38,34794.694,cluster19
429,39379.493,34186.458,cluster19
430,39191.508,33941.829,cluster19
431,39007.888,33835.082,cluster19
432,38726.166,33823.962,cluster19
433,38667.72,33966.292,cluster19
434,38514.619,33699.424,cluster19
435,38074.426,33806.171,cluster19
436,37675.867,33567.102,cluster19
437,37259.414,33336.928,cluster19
438,37168.984,33601.572,cluster19
439,37196.55,34206.473,cluster19
440,37212.316,34622.342,cluster19
441,37121.201,35029.315,cluster19
442,36929.589,35513.013,cluster19
443,37037.343,35170.533,cluster19
444,37100.326,34960.374,cluster19
445,36939.287,34920.344,cluster19
446,36676.225,34744.656,cluster19
447,39694.501,35928.882,cluster19
448,35771.178,35008.188,cluster19
449,35388.717,35313.974,cluster19
450,35000.973,35302.855,cluster19
451,34713.296,35121.607,cluster19
452,34125.465,35068.233,cluster19
453,33931.04,34901.441,cluster19
454,33762.928,34542.281,cluster19
455,33592.998,34776.903,cluster19
456,33457.741,35231.69,cluster19
457,32967.683,35329.542,cluster19
458,32417.27,35258.377,cluster28
459,31950.583,35051.554,cluster28
460,31899.332,34730.201,cluster28
461,31492.016,34723.529,cluster28
462,31487.785,34517.819,cluster28
463,31060.648,34375.489,cluster28
464,30668.115,34276.526,cluster28
465,30409.993,34306.548,cluster28
466,30023.04,34507.811,cluster28
467,29727.109,34659.036,cluster37
468,29530.592,34781.351,cluster37
469,29305.082,34723.529,cluster37
470,29228.005,34903.665,cluster37
471,28977.538,34715.746,cluster37
472,28755.823,34773.567,cluster37
473,28474.196,34742.432,cluster37
474,28372.18,34790.246,cluster37
475,28310.029,34843.62,cluster37
476,28419.442,34634.573,cluster37
477,28783.866,34319.892,cluster37
478,28848.634,34028.561,cluster37
479,29057.337,33829.522,cluster28
480,28957.563,33731.67,cluster28
481,28858.899,33786.156,cluster28
482,28371.629,34260.958,cluster37
483,28296.656,34337.683,cluster37
484,28283.002,34357.698,cluster37
485,28269.356,34375.489,cluster37
486,28245.485,34404.4,cluster37
